Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.85,6.85,6.719,6.739,15262500,6.41959
2015-12-30,6.845,6.885,6.80,6.836,10257800,6.51199
2015-12-29,6.891,6.90,6.816,6.867,26453000,6.54153
2015-12-28,6.955,7.003,6.827,6.856,17331700,6.53105
2015-12-25,6.941,6.941,6.941,6.941,000,6.61202
2015-12-24,6.96,7.015,6.901,6.941,8312300,6.61202
2015-12-23,6.84,6.976,6.809,6.928,110648800,6.59963
2015-12-22,6.785,6.81,6.695,6.75,78427900,6.43007
2015-12-21,6.90,6.943,6.71,6.71,65190700,6.39197
2015-12-18,7.057,7.129,6.95,7.042,62142700,6.70823
2015-12-17,7.153,7.233,7.093,7.131,97990700,6.79301
2015-12-16,7.02,7.058,6.875,6.995,107978900,6.66346
2015-12-15,6.82,6.985,6.81,6.929,47000100,6.60059
2015-12-14,7.026,7.08,6.802,6.802,45179300,6.47961
2015-12-11,7.146,7.185,6.98,6.994,32934600,6.66251
2015-12-10,7.119,7.243,7.073,7.166,37552000,6.82635
2015-12-09,7.153,7.251,7.025,7.167,73366700,6.82731
2015-12-08,7.277,7.292,7.105,7.146,59962400,6.8073
2015-12-07,7.436,7.445,7.285,7.309,27693600,6.96258
2015-12-04,7.35,7.43,7.24,7.378,37977000,7.02831
2015-12-03,7.65,7.69,7.38,7.423,55928800,7.07117
2015-12-02,7.828,7.882,7.64,7.658,38449200,7.29503
2015-12-01,7.89,7.94,7.827,7.857,18103400,7.4846
2015-11-30,7.811,7.907,7.769,7.856,29451000,7.48365
2015-11-27,7.846,7.925,7.808,7.819,32216700,7.4484
2015-11-26,7.76,7.91,7.702,7.87,15175000,7.49699
2015-11-25,7.757,7.80,7.63,7.764,54727000,7.39601
2015-11-24,7.739,7.763,7.625,7.763,32704800,7.39506
2015-11-23,7.719,7.818,7.674,7.775,26628300,7.40649
2015-11-20,7.843,7.874,7.71,7.735,29291300,7.36839
2015-11-19,7.753,7.895,7.746,7.809,27267000,7.43888
2015-11-18,7.681,7.716,7.65,7.682,22008400,7.3179
2015-11-17,7.625,7.734,7.615,7.703,22783100,7.3379
2015-11-16,7.475,7.63,7.474,7.557,16985100,7.19882
2015-11-13,7.52,7.617,7.461,7.567,51973000,7.20835
2015-11-12,7.793,7.818,7.532,7.535,38065200,7.17786
2015-11-11,7.814,7.925,7.79,7.822,23977500,7.45126
2015-11-10,7.888,7.949,7.775,7.809,18639200,7.43888
2015-11-09,7.95,8.005,7.875,7.875,15726900,7.50175
2015-11-06,7.766,8.006,7.765,7.94,45879200,7.56367
2015-11-05,7.93,7.95,7.74,7.766,34077000,7.39792
2015-11-04,7.94,8.05,7.892,7.93,27650200,7.55414
2015-11-03,7.854,7.918,7.82,7.905,37871400,7.53033
2015-11-02,7.80,7.913,7.775,7.86,41024100,7.48746
2015-10-30,7.80,7.905,7.715,7.84,116955200,7.46841
2015-10-29,8.268,8.27,8.011,8.121,27596700,7.73609
2015-10-28,8.038,8.22,8.028,8.193,40778400,7.80468
2015-10-27,8.13,8.136,8.012,8.044,18963200,7.66274
2015-10-26,8.102,8.21,8.06,8.143,33270200,7.75705
2015-10-23,8.20,8.279,8.09,8.113,30781300,7.72847
2015-10-22,7.905,8.184,7.896,8.118,35211400,7.73323
2015-10-21,7.963,7.995,7.852,7.94,19209600,7.56367
2015-10-20,7.982,8.00,7.85,7.929,55998700,7.55319
2015-10-19,8.048,8.119,7.937,7.975,49522600,7.59701
2015-10-16,7.98,8.061,7.943,8.038,66970000,7.65702
2015-10-15,7.887,7.968,7.875,7.932,28773000,7.55605
2015-10-14,7.86,7.918,7.791,7.82,50827800,7.44936
