Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,7.592,7.682,7.45,7.59,2252400,3.155
2011-12-29,7.69,7.726,7.438,7.682,4253400,3.193
2011-12-28,7.794,7.90,7.72,7.726,12638400,3.211
2011-12-27,7.64,7.92,7.63,7.86,13661700,3.267
2011-12-26,7.894,7.894,7.894,7.894,000,3.231
2011-12-23,7.846,7.91,7.82,7.894,1204600,3.231
2011-12-22,7.754,7.88,7.746,7.77,1538400,3.18
2011-12-21,7.98,8.00,7.776,7.796,25270900,3.191
2011-12-20,7.80,7.944,7.70,7.93,21677800,3.246
2011-12-19,7.40,7.79,7.40,7.76,7070000,3.176
2011-12-16,7.55,7.76,7.44,7.488,3941400,3.065
2011-12-15,7.34,7.64,7.34,7.544,2496800,3.088
2011-12-14,7.414,7.548,7.39,7.40,3739500,3.029
2011-12-13,7.748,7.80,7.50,7.50,3087800,3.07
2011-12-12,7.88,7.938,7.68,7.68,1529100,3.144
2011-12-09,7.604,7.97,7.502,7.944,2245100,3.252
2011-12-08,7.814,8.02,7.75,7.78,18875500,3.185
2011-12-07,7.942,8.00,7.80,7.922,6012500,3.243
2011-12-06,7.86,7.942,7.624,7.924,1500000,3.244
2011-12-05,7.65,7.84,7.65,7.794,1947800,3.19
2011-12-02,7.64,7.688,7.546,7.658,2182600,3.135
2011-12-01,7.516,7.61,7.508,7.536,2283500,3.085
2011-11-30,7.38,7.64,7.30,7.578,3502000,3.102
2011-11-29,7.35,7.456,7.232,7.392,2173500,3.026
2011-11-28,7.158,7.422,7.158,7.346,3088100,3.007
2011-11-25,7.00,7.238,6.90,7.134,1674800,2.92
2011-11-24,7.03,7.08,6.97,7.00,1112000,2.865
2011-11-23,7.00,7.106,6.90,6.956,2279900,2.847
2011-11-22,7.36,7.36,7.00,7.00,4086400,2.865
2011-11-21,7.44,7.534,7.26,7.26,2408000,2.972
2011-11-18,7.178,7.60,7.094,7.60,6083700,3.111
2011-11-17,7.014,7.186,7.002,7.186,2902500,2.941
