Date,Open,High,Low,Close,Volume,Adj Close
1958-01-02,40.330002,40.330002,40.330002,40.330002,1800000,40.330002
1958-01-03,40.869999,40.869999,40.869999,40.869999,2440000,40.869999
1958-01-06,40.68,40.68,40.68,40.68,2500000,40.68
1958-01-07,41.00,41.00,41.00,41.00,2220000,41.00
1958-01-08,40.990002,40.990002,40.990002,40.990002,2230000,40.990002
1958-01-09,40.75,40.75,40.75,40.75,2180000,40.75
1958-01-10,40.369999,40.369999,40.369999,40.369999,2010000,40.369999
1958-01-13,40.490002,40.490002,40.490002,40.490002,1860000,40.490002
1958-01-14,40.669998,40.669998,40.669998,40.669998,2010000,40.669998
1958-01-15,40.990002,40.990002,40.990002,40.990002,2080000,40.990002
1958-01-16,41.060001,41.060001,41.060001,41.060001,3950000,41.060001
1958-01-17,41.099998,41.099998,41.099998,41.099998,2200000,41.099998
1958-01-20,41.349998,41.349998,41.349998,41.349998,2310000,41.349998
1958-01-21,41.299999,41.299999,41.299999,41.299999,2160000,41.299999
1958-01-22,41.200001,41.200001,41.200001,41.200001,2390000,41.200001
1958-01-23,41.360001,41.360001,41.360001,41.360001,1910000,41.360001
1958-01-24,41.709999,41.709999,41.709999,41.709999,2830000,41.709999
1958-01-27,41.59,41.59,41.59,41.59,2320000,41.59
1958-01-28,41.630001,41.630001,41.630001,41.630001,2030000,41.630001
1958-01-29,41.880001,41.880001,41.880001,41.880001,2220000,41.880001
1958-01-30,41.68,41.68,41.68,41.68,2150000,41.68
1958-01-31,41.700001,41.700001,41.700001,41.700001,2030000,41.700001
1958-02-03,42.040001,42.040001,42.040001,42.040001,2490000,42.040001
1958-02-04,42.459999,42.459999,42.459999,42.459999,2970000,42.459999
1958-02-05,42.189999,42.189999,42.189999,42.189999,2480000,42.189999
1958-02-06,42.099998,42.099998,42.099998,42.099998,2210000,42.099998
1958-02-07,41.73,41.73,41.73,41.73,2220000,41.73
1958-02-10,41.48,41.48,41.48,41.48,1900000,41.48
1958-02-11,41.110001,41.110001,41.110001,41.110001,2110000,41.110001
1958-02-12,40.93,40.93,40.93,40.93,2030000,40.93
1958-02-13,40.939999,40.939999,40.939999,40.939999,1880000,40.939999
1958-02-14,41.330002,41.330002,41.330002,41.330002,2070000,41.330002
1958-02-17,41.110001,41.110001,41.110001,41.110001,1700000,41.110001
1958-02-18,41.169998,41.169998,41.169998,41.169998,1680000,41.169998
1958-02-19,41.150002,41.150002,41.150002,41.150002,2070000,41.150002
1958-02-20,40.91,40.91,40.91,40.91,2060000,40.91
1958-02-21,40.880001,40.880001,40.880001,40.880001,1700000,40.880001
1958-02-24,40.650002,40.650002,40.650002,40.650002,1570000,40.650002
